"crcaa_applicationname","crcaa_approvalstatus","importsequencenumber","crcaa_licensestatus","crcaa_reviewcomments","crcaa_reviewstatus","crcaa_softwareapplicationrecordid","statuscode","statecode","crcaa_providername","timezoneruleversionnumber","crcaa_typeofsoftware","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"GeoCalc Pro","1","","1","","1","8f7fecf9-2c51-f011-877a-7c1e5219646f","1","0","EarthSoft","","13","","1929595","76f68aae-594e-f011-877a-6045bdeb5eaf"
"MindSketch","1","","2","","1","8e7fecf9-2c51-f011-877a-7c1e5219646f","1","0","VisionTools","","1","","1929594","76f68aae-594e-f011-877a-6045bdeb5eaf"
"CodeLogic IDE","1","","1","","1","8d7fecf9-2c51-f011-877a-7c1e5219646f","1","0","CodeLogic Inc.","","4","","1929593","76f68aae-594e-f011-877a-6045bdeb5eaf"
"BookTrack","1","","1","","1","959a16c6-b3e7-4106-8112-90bfbc46520b","1","0","EduSync","","10","","1925312","76f68aae-594e-f011-877a-6045bdeb5eaf"
"StatBot","1","","1","","1","7c945e1b-59c3-45c6-89ed-5e69ef181949","1","0","QuantMetrics","","5","","1925310","76f68aae-594e-f011-877a-6045bdeb5eaf"
"PaintGrid","2","","2","","1","9a27a2f5-8560-42e3-b3d5-ae06aa327833","1","0","CreativeWare","","1","","1925309","76f68aae-594e-f011-877a-6045bdeb5eaf"
"FilmForge","1","","1","","1","91ac3d96-e9d3-46df-9ed7-2d6660c548d6","1","0","CineCraft","","11","","1925308","76f68aae-594e-f011-877a-6045bdeb5eaf"
"AudioWave Studio","2","","1","","1","4bf6ca68-08ce-43f9-b08c-2d93f3853297","1","0","SoundLogic","","7","","1925307","76f68aae-594e-f011-877a-6045bdeb5eaf"
"BrightLearn","1","","1","","1","f32ea57b-cc23-496b-ad92-47bef391a970","1","0","MindShift","","10","","1925306","76f68aae-594e-f011-877a-6045bdeb5eaf"
"PDFMerge Tool","1","","2","","1","76da01ef-c0d8-47e5-968e-16cabd65d332","1","0","DocuTools","","9","","1925305","76f68aae-594e-f011-877a-6045bdeb5eaf"
"SketchBoard","1","","1","","1","9bee73b5-0501-449a-a626-48e8fdc677d0","1","0","PixelPushers","","1","","1925304","76f68aae-594e-f011-877a-6045bdeb5eaf"
"GraphEx","1","","1","","1","6a6d9fa1-61c9-48d8-91cb-c00b068dd62b","1","0","EduVisuals","","2","","1925303","76f68aae-594e-f011-877a-6045bdeb5eaf"
"SimulCalc","1","","1","","1","d5a20f00-581a-4334-a45f-9fda0e301afa","1","0","ModelSoft","","8","","1925302","76f68aae-594e-f011-877a-6045bdeb5eaf"
"SoundForge Lite","2","","2","","1","fcd2caa6-2783-4638-ab0a-65d9db38edfe","1","0","SonicEdge","","7","","1925301","76f68aae-594e-f011-877a-6045bdeb5eaf"
"NoteWise","1","","2","","1","49a6548e-24db-4734-83f9-990e2190ba7c","1","0","FlexiNotes","","6","","1925300","76f68aae-594e-f011-877a-6045bdeb5eaf"
"DataPlotter X","1","","2","","1","b2b8317d-bf41-42ea-be7e-19cf253e8e0e","1","0","InsightSoft","","5","","1925299","76f68aae-594e-f011-877a-6045bdeb5eaf"
"Artify Studio","1","","1","","1","bc18a315-df15-4b63-af87-563ebcf91b6d","1","0","Creatix Labs","","1","","1925298","76f68aae-594e-f011-877a-6045bdeb5eaf"
"CodeSphere","1","","1","","1","84b6002d-71d6-4aa3-b97d-9ed947fb9b80","1","0","DevGrid","","4","","1925297","76f68aae-594e-f011-877a-6045bdeb5eaf"
"ClipEdit","2","","2","","1","3d396bf5-940f-4202-9109-355f6713797f","1","0","QuickEditors","","3","","1925296","76f68aae-594e-f011-877a-6045bdeb5eaf"
"MathWiz","1","","1","","1","c9875c5b-fa84-4e58-9542-6ca08e584213","1","0","EduLogic","","2","","1925295","76f68aae-594e-f011-877a-6045bdeb5eaf"
"PixelCraft Pro","1","","1","","1","c58f1a16-990e-43a9-b77a-9ce2e33041bf","1","0","PixelWave Inc.","","1","","1925294","76f68aae-594e-f011-877a-6045bdeb5eaf"
